in_id,query,answers_text,answers_count
10106.0,Что вы сможете использовать в своей работе?,"формулировать проблему, 5 поче",1.0
10106.0,Что вы сможете использовать в своей работе?,поиск потерь,1.0
10106.0,Что вы сможете использовать в своей работе?,правило 5 «почему» :),1.0
10106.0,Что вы сможете использовать в своей работе?,умение работать в команде,1.0
10106.0,Что вы сможете использовать в своей работе?,картирование и анализ,1.0
10106.0,Что вы сможете использовать в своей работе?,четкое формулирование проблемы,1.0
10106.0,Что вы сможете использовать в своей работе?,многон,1.0
10106.0,Что вы сможете использовать в своей работе?,методы выявления проблем,1.0
10106.0,Что вы сможете использовать в своей работе?,методы решения проблем,1.0
10106.0,Что вы сможете использовать в своей работе?,картирование,1.0
10106.0,Что вы сможете использовать в своей работе?,постановку проблемы и поиск р,1.0
10106.0,Что вы сможете использовать в своей работе?,поиск решения,1.0
10106.0,Что вы сможете использовать в своей работе?,способ «5 почему»,1.0
10106.0,Что вы сможете использовать в своей работе?,инструмент картирования,1.0
10106.0,Что вы сможете использовать в своей работе?,все,1.0
10106.0,Что вы сможете использовать в своей работе?,картирование,1.0
10106.0,Что вы сможете использовать в своей работе?,5с,1.0
10106.0,Что вы сможете использовать в своей работе?,картирование,1.0
10106.0,Что вы сможете использовать в своей работе?,находить проблему,1.0
10106.0,Что вы сможете использовать в своей работе?,да,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",не боишься ошибиться,1.0
10119.0,"Что для вас ""культура доверия"" в организации?","говорят прямо, как есть",1.0
10119.0,"Что для вас ""культура доверия"" в организации?",можно показать слабость,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",критика звучит,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",люди не боятся спорить,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",можно поговорить с любым,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",не сомневаюсь в намерениях,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",презумпция невиновности,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",единая команда,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",уважение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",можно не опасаться разгласки,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",прозрачность в коммуникации,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность комфортно работать,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в коллегах,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность признать ошибку,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытый обмен опытом,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытая вертикаль общения,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто и доверите,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность сказать об ошибке,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",предупреждение о кирпиче,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",честная и полная инфо сверху,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",благоприятная среда,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",объединяющая взаимосвязь,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",искренняя помощь,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость общении,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",информирование своевременное,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",легкое общение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",выполнение обещаний в срок,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",свобода,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказаться,1.0
10119.0,"Что для вас ""культура доверия"" в организации?","знать, что тебя не осудят",1.0
10119.0,"Что для вас ""культура доверия"" в организации?",честность и прозрачность,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие вранья в отношениях,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто общаться,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",безопасность,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытая обратная связь,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",честность с руководством,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",делиться переживаниями,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",когда я могу открыто говорить,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",можно обратиться,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",можно быть услышанным,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",можно без обиды отказать,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",говорю об ошибках,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",предлагаю свободно идеи,1.0
10119.0,"Что для вас ""культура доверия"" в организации?","все равны - и новый, и ""старый",1.0
10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие двуличности,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лжи,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",правда подтверждается фактами,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",свобода слова,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лицемерия,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",нет двойных стандартов,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и получил,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и сам решаешь,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открыто выражать мнение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в искренности друг,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",поддержка и защита,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",не бояться говорить что думаеш,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",обратная связь без последствий,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость информации,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытый разговор,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",незамалчивание проблем,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",нет обсуждений  «за спиной»,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",всегда поддержат,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",нет страха наказания,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",ошибки это нормально,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",право на ошибку,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",без двойных стандартов,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",без любимчиков,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость друг к другу,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость руководителя,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",дилемма кому и когда доверять,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",безопасная среда,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",профессионализм,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",свобода выбора методов,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытое обсуждение точек рост,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",когда не осуждают,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",когда можешь говорить открыто,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",твое мнение не равно увольнени,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",важные элементы доверия - это,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",это честность и уважение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",-,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",один за всех и все за одного,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",безопасное пространство,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытые взаимоотношения,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",поддержка коллег,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",уверенность,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",наличие компетентных сотрудник,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",выполняет обещанное в срок,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",верить друг другу,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",правила конфиденциальност,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность признавать ошибки,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",взаимоуважение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",доверие команде,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и взаимодействие,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",комфортная работа,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",смело выражать мнение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",не быть осужденным,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",ответственность,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",доверительные отношения,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",могу честно сказать свой минус,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",доверить задачу без контроля,1.0
10119.0,"Что для вас ""культура доверия"" в организации?","сказать, что думаю",1.0
10119.0,"Что для вас ""культура доверия"" в организации?",когда не боятся ошибиться,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",уметь хранить секреты,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",быть честным,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",доверие коллегам,1.0
10119.0,"Что для вас ""культура доверия"" в организации?","меня поругают, но не накажут",1.0
10119.0,"Что для вас ""культура доверия"" в организации?",не страшно сказать об ошибке,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие наказаний за ошибки,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",честность друг с другом,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность говорить открыто,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",совместный диалог,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",правда,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто обсуждать,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",открытость коммуникации,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",общение,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",не прятать ошибки,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",поощрение культуры ownershipa,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",доверие между сотрудниками,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",доброжелательность,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",когда не конт-ют на каждом шаг,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",безопасность быть собой,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",толерантность к разному,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0
10119.0,"Что для вас ""культура доверия"" в организации?",обоюдная открытость,1.0
