,index,in_id,query,answers_text,answers_count,langdetect,langid
0,0,10106.0,Что вы сможете использовать в своей работе?,"формулировать проблему, 5 поче",1.0,ru,ru
1,1,10106.0,Что вы сможете использовать в своей работе?,поиск потерь,1.0,ru,ru
2,3,10106.0,Что вы сможете использовать в своей работе?,умение работать в команде,1.0,ru,ru
3,5,10106.0,Что вы сможете использовать в своей работе?,четкое формулирование проблемы,1.0,ru,ru
4,7,10106.0,Что вы сможете использовать в своей работе?,методы выявления проблем,1.0,ru,ru
5,8,10106.0,Что вы сможете использовать в своей работе?,методы решения проблем,1.0,ru,ru
6,11,10106.0,Что вы сможете использовать в своей работе?,поиск решения,1.0,ru,ru
7,12,10106.0,Что вы сможете использовать в своей работе?,способ «5 почему»,1.0,ru,ru
8,14,10106.0,Что вы сможете использовать в своей работе?,все,1.0,ru,ru
9,18,10106.0,Что вы сможете использовать в своей работе?,находить проблему,1.0,ru,ru
10,20,10119.0,"Что для вас ""культура доверия"" в организации?",не боишься ошибиться,1.0,ru,ru
11,21,10119.0,"Что для вас ""культура доверия"" в организации?","говорят прямо, как есть",1.0,ru,ru
12,22,10119.0,"Что для вас ""культура доверия"" в организации?",можно показать слабость,1.0,ru,ru
13,24,10119.0,"Что для вас ""культура доверия"" в организации?",люди не боятся спорить,1.0,ru,ru
14,25,10119.0,"Что для вас ""культура доверия"" в организации?",можно поговорить с любым,1.0,ru,ru
15,26,10119.0,"Что для вас ""культура доверия"" в организации?",не сомневаюсь в намерениях,1.0,ru,ru
16,28,10119.0,"Что для вас ""культура доверия"" в организации?",единая команда,1.0,ru,ru
17,30,10119.0,"Что для вас ""культура доверия"" в организации?",можно не опасаться разгласки,1.0,ru,ru
18,31,10119.0,"Что для вас ""культура доверия"" в организации?",прозрачность в коммуникации,1.0,ru,ru
19,32,10119.0,"Что для вас ""культура доверия"" в организации?",возможность комфортно работать,1.0,ru,ru
20,33,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в коллегах,1.0,ru,ru
21,34,10119.0,"Что для вас ""культура доверия"" в организации?",возможность признать ошибку,1.0,ru,ru
22,35,10119.0,"Что для вас ""культура доверия"" в организации?",открытый обмен опытом,1.0,ru,ru
23,36,10119.0,"Что для вас ""культура доверия"" в организации?",открытая вертикаль общения,1.0,ru,ru
24,37,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто и доверите,1.0,ru,ru
25,38,10119.0,"Что для вас ""культура доверия"" в организации?",возможность сказать об ошибке,1.0,ru,ru
26,40,10119.0,"Что для вас ""культура доверия"" в организации?",честная и полная инфо сверху,1.0,ru,ru
27,41,10119.0,"Что для вас ""культура доверия"" в организации?",благоприятная среда,1.0,ru,ru
28,42,10119.0,"Что для вас ""культура доверия"" в организации?",объединяющая взаимосвязь,1.0,ru,ru
29,44,10119.0,"Что для вас ""культура доверия"" в организации?",открытость общении,1.0,ru,ru
30,45,10119.0,"Что для вас ""культура доверия"" в организации?",информирование своевременное,1.0,ru,ru
31,46,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0,ru,ru
32,47,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0,ru,ru
33,48,10119.0,"Что для вас ""культура доверия"" в организации?",легкое общение,1.0,ru,ru
34,49,10119.0,"Что для вас ""культура доверия"" в организации?",выполнение обещаний в срок,1.0,ru,ru
35,50,10119.0,"Что для вас ""культура доверия"" в организации?",свобода,1.0,ru,ru
36,51,10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказаться,1.0,ru,ru
37,52,10119.0,"Что для вас ""культура доверия"" в организации?","знать, что тебя не осудят",1.0,ru,ru
38,53,10119.0,"Что для вас ""культура доверия"" в организации?",честность и прозрачность,1.0,ru,ru
39,54,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие вранья в отношениях,1.0,ru,ru
40,55,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто общаться,1.0,ru,ru
41,56,10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0,ru,ru
42,57,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0,ru,ru
43,58,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность,1.0,ru,ru
44,59,10119.0,"Что для вас ""культура доверия"" в организации?",открытая обратная связь,1.0,ru,ru
